state_no,H1,H2,H3,H4
176,8.47,23.79,3.49,2.81
177,53.09,39.74,3.63,5.46
178,170.92,46.32,2.95,4.69
179,58.74,117.65,2.74,3.01
180,5.84,23.74,3.17,3.02
181,280.04,42.51,3.75,4.28
182,148.02,43.05,3.16,3.40
183,62.08,123.49,2.78,2.99
184,46.84,63.96,2.64,3.12
185,84.39,97.69,2.82,6.47
186,3600,106.11,3.21,4.72
187,56.83,288.73,2.71,5.37
188,4.50,6.02,4.27,3.03
189,83.07,25.64,3.62,3.49
190,5.62,23.60,3.30,3.18
191,6.48,59.64,3.77,166.10
192,4.73,7.21,3.19,2.71
193,16.74,47.48,2.84,3.18
194,173.77,40.13,2.82,3.03
195,3600,105.27,2.92,5.17
196,3.38,10.11,3.63,2.64
197,5.94,45.61,2.95,3.06
198,5.89,47.12,3.94,2.98
199,6.90,104.62,2.72,5.19
200,2.52,19.18,2.59,2.48
201,107.29,123.12,2.75,4.83
202,3.00,126.08,3.96,4.11
203,315.29,294.35,2.65,8.49
204,5.92,7.90,5.89,411.82
205,13.66,13.00,3.29,428.48
206,9.86,13.46,3.16,371.61
207,70.52,38.82,3.37,290.03
208,44.48,14.56,4.55,372.69
209,358.29,22.86,2.80,3600
210,286.62,24.18,3.07,3600
211,217.96,70.28,2.92,609.72
212,44.83,12.63,4.79,367.60
213,371.46,28.58,3.09,3600
214,97.09,20.19,3.10,3600
215,1672.47,82.18,2.78,648.92
216,11.97,37.58,3.29,294.65
217,50.57,72.19,2.73,3600
218,28.56,69.08,2.79,3600
219,257.07,161.15,3.30,3600
220,21.27,3.91,2.60,2.45
221,9.15,3.60,2.53,2.48
222,5.70,3.63,2.55,2.52
223,24.67,3.59,2.55,2.47
224,6.63,3.44,2.53,2.49
225,3.90,3.51,2.45,2.53
226,2.77,3.40,2.46,2.51
227,2.78,3.53,2.56,2.44
228,3.56,3.49,2.62,2.47
229,2.78,8.72,2.62,2.50
230,10.95,3.67,2.47,2.48
231,9.75,3.52,2.48,2.58
232,4.59,3.30,2.45,2.52
233,3.74,3.47,2.50,2.46
234,2.77,3.54,2.51,2.46
235,6.88,7.40,2.66,2.52
236,2.76,3.35,2.44,2.48
237,3.60,3.77,2.60,2.48
238,4.76,3.67,2.53,2.45
239,12.98,4.99,2.58,2.49
240,3.13,3.76,2.55,2.50
241,3.33,13.60,3.61,2.49
242,6.87,12.82,3.52,2.52
243,3600,31.91,4.24,2.50
244,3.29,3.58,2.58,2.48
245,3.24,11.35,3.48,2.50
246,2891.41,14.02,3.68,2.57
247,3600,29.63,3.46,2.58
248,4.16,4.41,2.56,2.48
249,5.10,32.55,3.99,2.47
250,3600,29.73,3.56,2.48
251,3600,68.41,3.60,2.54
252,4.48,3.47,2.50,2.42
253,4.48,3.50,2.55,2.42
254,4.39,3.45,2.47,2.52
255,4.54,3.94,2.58,2.46
256,8.77,6.23,2.93,2.63
257,26.97,6.98,2.58,2.55
258,27.56,6.65,2.59,2.51
259,60.23,19.43,2.62,2.55
260,6.07,4.91,2.77,2.65
261,32.05,6.85,2.60,2.50
262,27.57,6.73,2.57,2.61
263,61.78,16.25,2.69,2.50
264,18.91,10.60,2.68,2.48
265,27.87,17.55,2.58,2.51
266,28.51,20.61,2.58,2.48
267,58.94,44.84,2.57,2.52
268,4.60,3.62,2.50,2.42
269,7.61,5.02,2.70,2.59
270,5.51,4.84,2.76,2.60
271,6.66,9.71,2.62,2.45
272,4.55,3.47,2.50,2.44
273,9.09,6.47,2.73,2.47
274,5.33,6.54,2.61,2.49
275,11.52,18.12,2.64,2.44
276,4.57,3.70,2.50,2.50
277,6.12,6.91,2.70,2.51
278,6.03,7.93,2.68,2.51
279,7.05,16.02,2.51,2.47
280,4.56,3.94,2.59,2.49
281,5.54,20.66,2.59,2.49
282,5.07,18.43,2.70,2.49
283,5.95,47.81,2.59,2.56
284,4.69,3.94,2.60,2.49
285,4.76,3.98,2.58,2.49
286,10.73,4.11,2.77,2.47
287,33.48,5.95,2.63,2.52
288,4.50,4.04,2.68,2.50
289,4.51,4.63,2.62,2.47
290,4.60,4.82,2.63,2.50
291,4.59,9.76,2.51,2.44
292,4.62,4.23,2.81,2.48
293,36.96,4.77,2.52,2.62
294,4.66,4.55,2.55,2.56
295,1521.73,9.75,2.54,2.52
296,4.61,6.36,2.65,2.47
297,4.55,9.81,2.55,2.45
298,4.47,9.69,2.51,2.46
299,4.53,31.75,2.51,2.44
300,2.41,3.27,3.26,2.49
301,2.55,4.31,4.14,2.77
302,2.57,3.95,5.55,3.43
303,2.57,4.09,3.98,2.82
304,25.37,5.32,4.69,2.77
305,2.54,4.07,5.79,3.63
306,2.56,4.00,4.75,3.22
307,6.07,37.30,4.52,3.00
308,2.58,42.23,3.96,2.83
309,188.28,113.25,4.68,3.13
310,2.80,4.05,5.84,3.67
311,2.51,4.13,4.86,3.74
312,1114.07,37.89,4.76,3.05
313,2.58,32.65,4.12,2.76
314,971.49,121.66,4.29,3.21
315,28.88,5.22,4.29,2.91
316,3600,118.75,4.10,2.86
317,241.07,115.34,4.03,2.83
318,3600,285.55,3.89,2.84
319,2.54,4.19,5.90,3.67
320,2.59,3.29,3.36,2.44
321,2.57,3.42,3.30,2.40
322,2.59,3.60,3.49,2.44
323,24.95,4.15,3.13,2.40
324,2.60,9.81,3.58,2.57
325,2.57,17.78,3.18,2.45
326,4.46,16.53,3.37,2.47
327,3037.28,62.50,3.97,2.82
328,119.73,9.37,3.57,2.45
329,1022.87,15.49,3.40,2.46
330,3009.13,18.79,3.54,2.45
331,3600,56.70,5.52,2.88
332,935.05,25.88,3.33,2.53
333,3600,55.99,3.57,2.45
334,3470.82,52.40,3.36,2.47
335,3600,149.52,3.41,2.51
336,2.52,3.54,3.29,2.43
337,2.56,3.58,3.43,2.52
338,2.54,3.37,3.30,2.42
339,2.56,3.76,3.55,2.61
340,2.56,3.94,3.83,2.68
341,3.26,21.18,4.40,3.02
342,2.56,3.52,3.30,2.40
343,8.79,7.99,3.33,2.47
344,2.62,10.10,3.53,2.47
345,4.13,23.86,3.36,2.45
346,2.55,3.60,3.15,2.44
347,3078.41,15.43,4.65,2.77
348,2.61,16.77,3.38,2.48
349,3383.56,68.10,3.44,2.42
350,2.62,3.80,3.33,2.40
351,2.57,16.88,3.58,2.56
352,2.53,17.33,3.60,2.45
353,2.79,49.32,3.21,2.47
354,2.56,4.46,3.17,2.39
355,3600,56.04,3.44,2.50
356,2.56,54.53,3.34,2.46
357,1166.98,152.42,3.31,2.46
358,2.66,4.23,3.20,2.44
359,2.56,5.13,3.72,2.82
360,2.54,5.61,3.88,3.06
361,2.58,12.51,3.28,2.48
362,2.55,5.41,3.27,2.47
363,562.31,9.22,4.35,2.72
364,2.59,7.52,3.41,2.46
365,2036.91,22.36,3.18,2.41
366,2.66,5.18,3.29,2.45
367,2.54,7.36,4.45,2.70
368,2.56,8.61,3.24,2.49
369,2.51,21.29,3.51,2.51
370,2.62,12.33,3.29,2.49
371,1537.99,21.28,3.37,2.51
372,2.63,29.88,3.35,2.44
373,3600,97.11,3.29,2.44
374,2.53,3.71,3.93,2.57
375,2.63,3.65,3.65,2.59
376,2.82,3.50,3.58,2.63
377,2.51,3.90,3.98,2.60
378,2.53,3.92,3.61,2.57
379,2.96,16.84,3.52,2.53
380,3.74,7.65,9.47,4.24
381,2.95,23.38,8.73,4.37
382,4.76,24.50,5.75,3.35
383,11.92,119.02,3.53,2.58
384,3.49,23.56,5.18,3.34
385,4.73,399.78,12.17,6.93
386,6.45,403.86,13.40,6.09
387,3600,968.79,6.97,3.82
388,4.24,27.03,5.16,3.10
389,12.68,392.59,7.91,4.72
390,2943.66,346.11,6.37,3.84
391,3600,964.61,6.08,3.76
392,4.95,86.27,3.49,2.49
393,5.51,981.24,15.63,8.85
394,3600,934.59,18.40,8.87
395,3600,2169.77,9.90,5.78
396,4.57,7.58,3.45,2.55
397,13.59,15.59,3.40,2.59
398,16.23,15.42,3.30,2.48
399,21.25,48.77,3.39,2.49
400,8.47,104.19,5.58,3.65
401,53.09,162.44,4.88,3.29
402,170.92,194.40,3.98,2.82
403,58.74,531.74,5.05,3.51
404,5.84,91.03,7.65,4.63
405,280.04,171.62,4.48,2.97
406,148.02,161.20,4.55,3.17
407,62.08,517.42,5.41,3.43
408,46.84,271.87,7.90,4.77
409,84.39,503.47,6.58,4.10
410,3600,543.55,7.56,4.05
411,56.83,1722.20,9.91,4.55
412,4.50,7.07,4.41,2.82
413,83.07,113.53,8.28,6.42
414,5.62,102.67,9.09,4.47
415,6.48,273.57,683.85,343.95
416,4.73,14.53,3.72,2.62
417,16.74,198.02,7.48,4.47
418,173.77,205.85,6.09,3.89
419,3600,546.43,16.13,8.85
420,3.38,15.06,4.16,2.79
421,5.94,173.69,5.55,3.69
422,5.89,168.98,5.11,3.40
423,6.90,532.85,14.52,8.11
424,2.52,51.26,3.28,2.53
425,107.29,485.87,6.67,4.13
426,3.00,506.10,7.08,4.30
427,315.29,1290.05,16.60,9.21
428,5.92,24.60,3600,3600
429,13.66,66.01,3600,3600
430,9.86,37.73,3600,3600
431,70.52,137.55,1517.33,815.03
