algorithm,protocol_model,PAR2,Solved
EDMC+H3,German_node2,2.815,6
EDMC+H3,German_node4,2.694000000000001,20
EDMC+H3,German_node8,2.6505303030303025,264
EDMC+H3,Flash_node2,2.7516666666666665,6
EDMC+H3,Flash_node4,2.6775,20
EDMC+H3,Flash_node8,2.626250000000003,264
EDMC+H3,Godsont_node2,2.813333333333333,6
EDMC+H3,Godsont_node4,2.7975000000000003,20
EDMC+H3,Godsont_node8,4.9725,264
LS+H1,TL-C_In_S_nodata,2.5902631578947366,38
LS+H1,TL-C_In_S_data,2.5513157894736844,38
LS+H1,TL-C_NonIn_S_nodata,5.067678571428558,224
LS+H1,TL-C_NonIn_S_data,69.47410714285719,222
LS+H1,TL-C_In_M_data,2.5689473684210533,38
LS+H1,TL-C_NonIn_M_data,679.9192857142858,203
LS+H1,German_node2,2.8166666666666664,6
LS+H1,German_node4,2.7344999999999997,20
LS+H1,German_node8,88.38950757575755,261
LS+H1,Flash_node2,2.72,6
LS+H1,Flash_node4,3.5365,20
LS+H1,Flash_node8,2582.0943560606056,170
LS+H1,Godsont_node2,2.5516666666666663,6
LS+H1,Godsont_node4,46.4875,20
LS+H1,Godsont_node8,4039.8891287878805,116
LS+H2,TL-C_In_S_nodata,2.59,38
LS+H2,TL-C_In_S_data,2.5526315789473686,38
LS+H2,TL-C_NonIn_S_nodata,3.627187500000006,224
LS+H2,TL-C_NonIn_S_data,4.285178571428571,224
LS+H2,TL-C_In_M_data,2.5702631578947375,38
LS+H2,TL-C_NonIn_M_data,1648.3138839285725,173
LS+H2,German_node2,2.8200000000000003,6
LS+H2,German_node4,2.744500000000001,20
LS+H2,German_node8,4.752537878787878,264
LS+H2,Flash_node2,2.76,6
LS+H2,Flash_node4,3.3145000000000002,20
LS+H2,Flash_node8,5894.206363636363,48
LS+H2,Godsont_node2,2.8316666666666666,6
LS+H2,Godsont_node4,2.823,20
LS+H2,Godsont_node8,4039.847537878789,116
LS+H3,TL-C_In_S_nodata,2.5939473684210532,38
LS+H3,TL-C_In_S_data,2.558684210526316,38
LS+H3,TL-C_NonIn_S_nodata,3.6605357142857184,224
LS+H3,TL-C_NonIn_S_data,4.355223214285712,224
LS+H3,TL-C_In_M_data,2.53,38
LS+H3,TL-C_NonIn_M_data,166.32107142857149,219
LS+H3,German_node2,2.848333333333333,6
LS+H3,German_node4,2.7345,20
LS+H3,German_node8,4.804318181818182,264
LS+H3,Flash_node2,2.7566666666666664,6
LS+H3,Flash_node4,3.9144999999999994,20
LS+H3,Flash_node8,309.97833333333335,254
LS+H3,Godsont_node2,2.5583333333333336,6
LS+H3,Godsont_node4,3.1435000000000004,20
LS+H3,Godsont_node8,71.78727272727271,264
